Line,SourcePort,SourceIP,Speed,Optics,PortChannel,DestinationDeviceHostname,DestinationPort
1,E1/1,,1000,EMPTY,,, 
2,E1/2,,1000,EMPTY,,, 
3,E1/3,,1000,EMPTY,,, 
4,E1/4,,1000,EMPTY,,, 
5,E1/5,,1000,EMPTY,,, 
6,E1/6,,1000,EMPTY,,, 
7,E1/7,,1000,EMPTY,,,
8,E1/8,,1000,EMPTY,,,
9,E1/9,,1000,EMPTY,,,
10,E1/10,,1000,EMPTY,,,
11,E1/11,,1000,EMPTY,,,
12,E1/12,,1000,EMPTY,,,
13,E1/13,,1000,EMPTY,,, 
14,E1/14,,1000,EMPTY,,, 
15,E1/15,,1000,EMPTY,,, 
16,E1/16,,1000,EMPTY,,, 
17,E1/17,,1000,EMPTY,,, 
18,E1/18,,1000,EMPTY,,, 
19,E1/19,,1000,EMPTY,,, 
20,E1/20,,1000,EMPTY,,, 
21,E1/21,,1000,EMPTY,,, 
22,E1/22,,1000,EMPTY,,, 
23,E1/23,,1000,EMPTY,,, 
24,E1/24,,1000,EMPTY,,, 
25,E1/25,,1000,EMPTY,,, 
26,E1/26,,1000,EMPTY,,, 
27,E1/27,,1000,EMPTY,,, 
28,E1/28,,1000,EMPTY,,, 
29,E1/29,,1000,EMPTY,,,
30,E1/30,,1000,EMPTY,,,
31,E1/31,,1000,EMPTY,,,
32,E1/32,,1000,EMPTY,,,
33,E1/33,,1000,EMPTY,,, 
34,E1/34,,1000,EMPTY,,, 
35,E1/35,,1000,EMPTY,,, 
36,E1/36,,1000,EMPTY,,, 
37,E1/37,,1000,EMPTY,,, 
38,E1/38,,1000,EMPTY,,, 
39,E1/39,,1000,EMPTY,,, 
40,E1/40,,1000,EMPTY,,, 
41,E1/41,,1000,EMPTY,,, 
42,E1/42,,1000,EMPTY,,, 
43,E1/43,,1000,EMPTY,,, 
44,E1/44,,1000,EMPTY,,, 
45,E1/45,,1000,EMPTY,,,
46,E1/46,,1000,EMPTY,,,
47,E1/47,,1000,EMPTY,,,
48,E1/48,,1000,EMPTY,,,
45,E2/5,,40000,EMPTY,,,
46,E2/6,,40000,EMPTY,,,
47,E2/7,,40000,EMPTY,,,
48,E2/8,,40000,EMPTY,,,
45,E2/9,,40000,EMPTY,,,
46,E2/10,,40000,EMPTY,,,

